招式 	等級 	說明 	結印 	主要使用者
火遁‧豪火球 	C 	以查克拉提煉，從口中發出一發大火球，其威力可以燒出直徑7公尺的洞穴來，非一般下忍能學懂。 	巳－未－申－亥－午－寅 	宇智波一族所創，宇智波佐助、宇智波止水、宇智波鼬和卡卡西、宇智波紗羅妲、宇智波帶土都用過
火遁‧豪炎 		以查克拉提煉，從口中發出一發火球。 		木葉猿飛一族
火遁‧鳳仙花火 	C 	從口中連續吐出火球，攻擊軌道就像鳳仙花的果實，火球的軌跡可用查克拉來操縱，同時也可以在其中加入手裏劍加強威力。 	子－寅－戌－丑－卯－寅 	宇智波佐助、宇智波鼬
火遁‧鳳仙花爪紅 	B 	放出多個手裏劍，並以火遁·鳳仙火使手裏劍燃燒進而發動攻擊。 	子－寅－戌－丑－卯－寅 	宇智波鼬
火遁‧龍火 	C 	在結印之後放出直線型的火焰，速度和威力都是一等一的，威力足夠打斷大型樹木。 	巳－辰－卯－寅 	宇智波一族、御手洗紅豆（動畫原創169話）
火遁‧豪龍火 	B 	施術者用查克拉提煉出高熱度的火焰並凝聚成火龍再沖向敵人，威力十分驚人。 	寅 	宇智波佐助、宇智波止水
火遁‧蝦蟆油炎彈 	B 	連合忍術，使用火遁點燃蝦蟆文太所吐出的油，燒盡前方一切物體，範圍廣，不易逃離，所以傷害力極高。雖屬火遁，但是因為有蝦蟆油的輔助，所以比一般的水遁難以抵擋。 		自來也和癩蝦蟆文太
火遁‧炎彈 	C 	從口中噴出火焰攻擊對手。 		自來也
火遁‧大炎彈 	B 	炎彈強化版，自來也在仙人模式時使用。把體內仙術查克拉練成油，在充滿口腔的油吐出的同時使用火遁忍術將其燃燒。 		自來也
火遁‧火龍炎彈 	B 	從口中吐出極強力的大火球，有如狂暴的龍般舞動。要讓火龍遵從施術者的意思，是非常困難的事情，只有技術熟練的忍者，才能夠學會。施術者所吐出來地火焰，會分成前、左、右三個方向一起向對方襲去，火龍的方向由查克拉所操控，並在一瞬間讓敵人變成灰燼，很難躲避。其威力可以將池塘的水在一瞬間蒸發。 	未－午－巳－辰－子－丑－寅 	三代火影、自來也
火遁‧灰積燒 	B 	從口中吐出灼熱的煙塵雲包圍敵人，再由施術者咬砌嵌在臼齒的打火石來引燃煙塵，達到類似塵爆的狀態以燒傷敵人。因為所吐出的是菸灰而不是火焰，所以能在空氣中維持及燃燒一段時間。 	巳－子－寅 	猿飛阿斯瑪、木葉丸
火遁‧頭刻苦 	B 	超大型的火球,威力大到可燒盡整座森林。 		角都
火遁‧神火 		配合風遁‧神風，可把一切燒成灰燼。 		追擊巫女紫苑的四人組使用（疾風傳劇場）。
火遁.火龍彈 	B 	從口中噴吐一束火焰，火焰會附帶灼傷效果。 		三代火影、木葉丸
火遁‧素燒之術 		配合土遁‧天降黏土，可將敵人用素燒的方式燒成一個大泥偶。 		暗部忍者。
火遁.豪火滅卻 	B 	威力驚人的火遁術，施術者會發出超過10倍以上的豪火球，火焰的規模遠遠超出豪火球，能夠做出一大片火海。需要多人使用水陣壁才擋得了。 		宇智波斑（漫畫560話）
火遁.豪火滅矢 	B 	吐出比火遁.豪火滅卻更強的火矛，火焰蔓延速度比豪火滅卻快。 	子－丑－戌－午－亥－寅 	宇智波斑
火遁.灰塵隱 	A 	查克拉聚集在喉嚨後，向前方吐出一團高溫的灰塵，灰塵落地後會向四周擴散，並對敵人產生高溫傷害，持續一段時間後爆炸。施術者可以憑藉灰塵阻礙敵人的視線，從而隱藏自己。 		宇智波斑
火遁‧龍炎放歌之術 	A 	可謂是豪龍火之術的強化版，數個龍頭型火炎對敵人進行攻擊。 		宇智波斑
火遁·鼠毛玉 		口中發射鼠狀火燄，可分散成大量的火炎追蹤彈。 		二尾柚木斗
火遁·起爆炎陣 	A 	以埋於地面的大量起爆符纏住並引發連環大爆破。 		山椒魚半藏
火遁.鬼燈籠 		自身周圍浮現出無數個有著般若外貌的火球，朝著目標攻擊。 		無垢
火遁·天牢 		把火屬性査克拉聚集在手中烙相目標使對方不能使用査克拉，中此禁錮術者若果強行使用會虛脫倒下，擅自從陸路逃出鬼燈城者甚至會自燃而亡。 		無為
火遁·豪火天牢 		火遁·天牢的強化版 		無為在木葉眾人制服無垢所脫變成的「悟」後所施展，強大如「悟」也被此招禁錮行動。
火遁·天牢火劍 		把火屬性査克拉聚集在手中成火劍穿透對方，能使對方剎那間燒成焦炭。 		無為
火遁·爆風亂舞 	B 	先由神威扭曲空間產生旋風，而後施展火遁，火焰藉由旋風快速延燒，且因神威產生的旋風鎖定目標，如地獄火焰吞噬敵人，寫輪眼與火遁的複合忍術。 		宇智波帶土
火遁·蒼炎術 		吐出數個藍色火焰球攻擊對手。 		遊戲自創 
水遁．泡沫 	C 	從吹肥皂泡器具中吐出許多大型泡泡，再以彈指來將泡泡進行引爆。 		泡沫
水遁．泡膜壁 	C 	吹出特大號的泡泡，包圍自己作防禦用。 		泡沫
水遁．酸頭泡 	C 	從吹肥皂泡器具中吐出具酸性的泡泡。 		泡沫
水遁．起爆泡 	B 	和水遁．泡沫不同，從吹肥皂泡器具中吐出具小規模爆炸的泡泡，不需彈指即可引爆。 		泡沫
水遁．霧隱之術 	D 	藏身在霧裏奇襲用的忍術，霧的濃厚藉由控制查克拉的多寡來改變。 		桃地再不斬、枇杷十藏

、照美冥
水遁．水亂波 	C 	吐出水波，將敵人沖走。 	辰－丑－卯 	彌彥
水遁．泡沫亂波 	C 	從口中吐出泡沫，將敵人沖走。 		畜生道的大龍蝦
水遁．水牢 	C 	利用查克拉製造水牢將對手困住的忍術，是常人100%不可能脫出的忍術，但曾被日向寧次破解，施術者需從手中不斷放出查克拉來維持水牢，一旦手離開術就會立刻破解。 	巳－未－午－卯－未－午－卯－五指張開，雙手大拇指和食指相抵 	桃地再不斬、干柿鬼鮫
水遁．水分身 	C 	利用查克拉控制水進而製造分身的忍術，對此分身的攻擊都會被水化解。 		旗木卡卡西、桃地再不斬、干柿鬼鮫、枇杷十藏
水遁．鐵炮彈 	C 	製造出水砲攻擊敵方的忍術。 		癩蝦蟆文太
水遁．水陣壁 	B 	操縱附近的水份來防禦對手的攻擊的忍術，缺點為正上方是其罩門所在。 	寅－巳－寅－巳－寅－巳 	旗木卡卡西、千手扉間、懶、小助
水遁．水流鞭 		將水凝聚成可自由伸縮的鞭子。可搭配雷遁使出聯合攻擊。 		千手扉間、霧隱暗部
水遁．水龍彈 	B 	利用查克拉將大量的水集中以驚人的氣勢攻擊對手的忍術，而此術的攻擊軌道就像龍一樣，此術將會大量消耗查克拉，其結印非常複雜。 	丑－申－卯－子－亥－酉－丑－午－酉－子－寅－戌－寅－巳－丑－未－巳－亥－未－子－申－酉－辰－酉－丑－午－未－寅－巳－子－申－卯－亥－辰－未－子－丑－申－酉－子－亥－酉 	旗木卡卡西、桃地再不斬、鬼燈水月、千手扉間、宇智波鼬、照美冥
水遁．水鮫彈 	B 	利用查克拉將水製成鯊魚的形狀進而攻擊的忍術。 		旗木卡卡西、干柿鬼鮫
水遁．大鮫彈 	A 	水遁．水鮫彈的升級版，破壞力更大。能吸收查克拉，遇強越強。 		干柿鬼鮫
水遁．五食鮫 	B 	從手指放出查克拉將水製成五隻鯊魚攻擊敵人，此忍術威力強大， 		干柿鬼鮫
水遁．千食鮫 	B 	水遁·五食鮫的超級強化版！在水中召喚出無數鯊魚撕咬對手。 		干柿鬼鮫
水遁．水牢鮫葬 		使用水牢困住對手並放出數隻鯊魚啃殺。 		遊戲自創干柿鬼鮫
水遁．水牙彈 	B 	出其不意攻擊敵方腳部。 		宇智波鼬
水遁．瀧壺 		利用查克拉製造瀑布 		千手扉間、大和
水遁．爆水衝波 	B 	一口氣吐出大量的水，需要龐大查克拉 		干柿鬼鮫
水遁．大爆水衝波 		水遁‧爆水沖波的昇級版，大量吐出來的水會形成圓形，並以施術者為中心移動。 		干柿鬼鮫
